,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
123,0.296,Tue Sep 25 20:03:05 +0000 2018,0.0,0.855,0.145,124,"Tonight @JessGlynne, @idlesband, @softcellhq, @Ralph_McTell, @KingPrincess69 and @HakBaker join Jools on the first… https://t.co/Lb6VCJ3eQI",@BBC
122,0.0,Wed Sep 26 07:02:07 +0000 2018,0.0,1.0,0.0,123,"From Hawarden to Mount Snowdon, it's #MonkmanAndSeagull's Guide To Wales! 🙌 @e_monkman @bobby_seagull 

https://t.co/witW8qatbV",@BBC
121,0.0,Wed Sep 26 07:31:04 +0000 2018,0.0,1.0,0.0,122,"Students can take a David Bowie course at Leeds University. ✍🎓 

📻👉 https://t.co/4jPPrnAK5S https://t.co/0ISuNTEZ5b",@BBC
120,0.4767,Wed Sep 26 08:04:03 +0000 2018,0.168,0.479,0.353,121,How to help a friend who's struggling with mental health. https://t.co/X9PwihsgH9 https://t.co/0lUMrtmb1j,@BBC
119,0.0,Wed Sep 26 09:04:04 +0000 2018,0.0,1.0,0.0,120,"Discover the ancient volcanoes along Scotland’s west coast... 😮🌋

https://t.co/kEPUuvtDN3",@BBC
118,0.0,Wed Sep 26 09:53:51 +0000 2018,0.0,1.0,0.0,119,RT @BBCLater: Record-breaking UK solo artist @JessGlynne got our brand new series off to a storming start tonight... Watch the performance…,@BBC
117,0.0,Wed Sep 26 10:04:04 +0000 2018,0.0,1.0,0.0,118,"What. A. Voice. 😮👏

7-year-old Malea Emma was asked to sing the national anthem before an LA Galaxy game...

https://t.co/WHmbmTKkyU",@BBC
116,0.3182,Wed Sep 26 10:46:44 +0000 2018,0.0,0.874,0.126,117,RT @BBCRadio4: 🎶 Prepare for adventure as @gemcairn takes @KojeyRadical on a musical journey to Accra... https://t.co/mvTfrBzlnB,@BBC
115,0.0,Wed Sep 26 11:02:01 +0000 2018,0.0,1.0,0.0,116,"It's that time of year again... 🙄

https://t.co/LxjiPTYUIG",@BBC
114,0.0,Wed Sep 26 12:30:08 +0000 2018,0.0,1.0,0.0,115,"It’s National #FitnessDay! 🏀️⚽️🎾

How much do you really know about exercise? 

Take this quiz to find out…… https://t.co/8t1SMXLZp2",@BBC
113,0.0,Wed Sep 26 12:32:03 +0000 2018,0.0,1.0,0.0,114,An orangutan named Rocky has become the first to mimic human speech. 🙊💬  https://t.co/DIGdTHwpNq https://t.co/MeQwgxocmm,@BBC
112,-0.1027,Wed Sep 26 13:04:06 +0000 2018,0.229,0.59,0.181,113,"Another grand slam for @Andy_Murray 😬

The tennis star took to Instagram to share the awkward moment he dropped a c… https://t.co/fXEFv5P9Nz",@BBC
111,0.0,Wed Sep 26 14:03:03 +0000 2018,0.0,1.0,0.0,112,"Archaeologists have found a 400-year-old shipwreck off the coast of Portugal, in what one specialist called the ""di… https://t.co/YP9fuo5Iz7",@BBC
110,-0.25,Wed Sep 26 14:04:00 +0000 2018,0.083,0.917,0.0,111,"RT @bbcweather: From today, night is longer than day. 🌃/☀ and the darkness is increasing at a rate of 4/5mins a day. Jo #Autumn https://t.c…",@BBC
109,0.659,Wed Sep 26 15:03:05 +0000 2018,0.0,0.597,0.403,110,"This puffer fish creates something absolutely breathtaking. 🐡😲 #LifeStory 

https://t.co/mxU7VERaCI",@BBC
108,0.0,Wed Sep 26 16:02:05 +0000 2018,0.0,1.0,0.0,109,"Did the Duchess of Sussex break protocol when she closed her car door? 

https://t.co/o2n2k0msfU https://t.co/qYmnjcI0ZM",@BBC
107,0.0,Wed Sep 26 19:07:05 +0000 2018,0.0,1.0,0.0,108,"📬Do not post crisp packets to Walkers, says Royal Mail ➡️

https://t.co/3JbgtRfiBQ https://t.co/VWRXGKC9nJ",@BBC
106,0.0,Wed Sep 26 20:03:06 +0000 2018,0.0,1.0,0.0,107,The 14th Century house used as the birthplace of Harry Potter is still up for sale. ⚡️📖  https://t.co/dcspAsDKrg https://t.co/NEOGYEkwBr,@BBC
105,0.5551,Thu Sep 27 07:04:02 +0000 2018,0.0,0.661,0.339,106,"So cute! 😍🐣 Meet Germany's 'Papa Goose'... 

https://t.co/3NtLqZQcnm",@BBC
104,0.5411,Thu Sep 27 07:32:04 +0000 2018,0.0,0.838,0.162,105,"Up, up and away! These enormous kites took to the sky at a festival in Germany. 🌬  https://t.co/HSIAQAQQE9 https://t.co/iIWX5ERx8I",@BBC
103,0.7964,Thu Sep 27 08:04:04 +0000 2018,0.056,0.678,0.265,104,"""It was probably the end of the night and I was definitely ready for my bed."" 😂

When a photo of you in a nightclub… https://t.co/asnG7gQrC9",@BBC
102,0.8697,Thu Sep 27 09:04:05 +0000 2018,0.0,0.62,0.38,103,"Talk about an anticlimax!

When these rescue workers were called to save a drowning man, they got a HUGE surprise..… https://t.co/PAVPpirEj0",@BBC
101,-0.4753,Thu Sep 27 10:02:02 +0000 2018,0.154,0.846,0.0,102,"We feel for Deirdre trying to answer some of these... it's unlikely Agony Aunt letters! ✉️😂 #MockTheWeek

https://t.co/iUev3YVy9v",@BBC
100,0.0,Thu Sep 27 10:44:32 +0000 2018,0.0,1.0,0.0,101,"RT @BBCTwo: BBC Two just got a brand new look.

Check out some of our new Idents in all their glory…

More info here: https://t.co/5WJBbgGY…",@BBC
99,-0.7579,Thu Sep 27 11:03:03 +0000 2018,0.351,0.649,0.0,100,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",@BBC
98,0.0,Thu Sep 27 12:32:06 +0000 2018,0.0,1.0,0.0,99,"What a moment! 😮 🐙

A man has been filmed being slapped in the face with a large octopus thrown by a seal. 👉… https://t.co/QxUgZSSXnX",@BBC
97,-0.4019,Thu Sep 27 13:03:06 +0000 2018,0.299,0.476,0.225,98,"""Dear haters, you're going to hate this."" 

Oliver reacts to Scotland's 'Dear Transphobes' campaign.

https://t.co/uayhqEP7jP",@BBC
96,0.0,Thu Sep 27 13:10:27 +0000 2018,0.0,1.0,0.0,97,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA,@BBC
95,0.4939,Thu Sep 27 13:46:00 +0000 2018,0.0,0.878,0.122,96,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/HEtqsCQbly",@BBC
94,-0.4201,Thu Sep 27 14:03:05 +0000 2018,0.117,0.883,0.0,95,"""It's very difficult not to tie your self-worth to the size of your audience"".

@hankgreen on the darker side of in… https://t.co/EF0u3XM6Nj",@BBC
93,0.5719,Thu Sep 27 15:06:35 +0000 2018,0.0,0.829,0.171,94,"Flying squirrels are secretive creatures but if you're lucky, you might meet one. Or two. Or three. 😮🐿

https://t.co/vx8aM2dHRt",@BBC
92,-0.5574,Thu Sep 27 15:31:07 +0000 2018,0.194,0.806,0.0,93,"John Cunliffe, creator of Postman Pat and Rosie and Jim, has died aged 85. https://t.co/OoHcAgZsu5 https://t.co/PEwPmaItNP",@BBC
91,-0.128,Thu Sep 27 16:03:09 +0000 2018,0.067,0.933,0.0,92,Got a bag of frozen peas lurking at the back of the freezer? Here are 7 things you can do with them. 😋🍴… https://t.co/innpVg70hh,@BBC
90,0.2263,Thu Sep 27 17:02:07 +0000 2018,0.089,0.756,0.155,91,"This is the quiz where you have to play the answer as well as say it. Famous faces battle it out, testing their ski… https://t.co/WXXa78QNdD",@BBC
89,0.6808,Fri Sep 28 07:01:05 +0000 2018,0.0,0.728,0.272,90,"Here's some useful advice on how you can help hedgehogs at this time of year. 🦔

https://t.co/TKgF4H0ktl",@BBC
88,0.3818,Fri Sep 28 07:32:06 +0000 2018,0.0,0.867,0.133,89,"Are children getting too much homework in the UK? 📚🖍

Comedian @robdelaney says kids' workload is ""madness"".… https://t.co/i16FsfwKNb",@BBC
87,0.5859,Fri Sep 28 08:04:02 +0000 2018,0.0,0.833,0.167,88,"Eggs as conditioner? 🥚🤷

Experts rate the beauty tips that our mums swore by. 👉 https://t.co/HGSuMbUNOj https://t.co/uoUg0LYfQp",@BBC
